L_nm,W_um,T_K,Vgs_V,Vds_V,log10_Id_A
65.0,0.2,250.0,0.1,0.5,-8.072276595384498
65.0,0.2,250.0,0.1,0.9,-7.467931353975172
65.0,0.2,250.0,0.1,1.0,-7.320149825625505
65.0,0.2,250.0,0.11,0.05,-8.685050501311938
65.0,0.2,250.0,0.11,0.1,-8.574865370738596
65.0,0.2,250.0,0.11,0.3,-8.250947347385226
65.0,0.2,250.0,0.11,0.5,-7.942501257205624
65.0,0.2,250.0,0.11,0.9,-7.342712712641722
65.0,0.2,250.0,0.11,1.0,-7.196508743045652
65.0,0.2,250.0,0.12,0.05,-8.552972276549513
65.0,0.2,250.0,0.12,0.1,-8.443020045943971
65.0,0.2,250.0,0.12,0.3,-8.120267201810966
65.0,0.2,250.0,0.12,0.5,-7.813422213475021
65.0,0.2,250.0,0.12,0.9,-7.2185878895017295
65.0,0.2,250.0,0.12,1.0,-7.074071462356918
65.0,0.2,250.0,0.13,0.05,-8.421320685533118
65.0,0.2,250.0,0.13,0.1,-8.311634468200737
65.0,0.2,250.0,0.13,0.3,-7.990200788462757
65.0,0.2,250.0,0.13,0.5,-7.685140938798962
65.0,0.2,250.0,0.13,0.9,-7.095734666837811
65.0,0.2,250.0,0.13,1.0,-6.953032948079654
65.0,0.2,250.0,0.14,0.05,-8.290155318572083
65.0,0.2,250.0,0.14,0.1,-8.180773346904582
65.0,0.2,250.0,0.14,0.3,-7.860832732514853
65.0,0.2,250.0,0.14,0.5,-7.557777434501639
65.0,0.2,250.0,0.14,0.9,-6.974321456966929
65.0,0.2,250.0,0.14,1.0,-6.833569886156718
65.0,0.2,250.0,0.15,0.05,-8.159549493488399
65.0,0.2,250.0,0.15,0.1,-8.050511922192074
65.0,0.2,250.0,0.15,0.3,-7.732262883188241
65.0,0.2,250.0,0.15,0.5,-7.431447460770078
65.0,0.2,250.0,0.15,0.9,-6.854505254933545
65.0,0.2,250.0,0.15,1.0,-6.7158513671604645
65.0,0.2,250.0,0.16,0.05,-8.029579662608374
65.0,0.2,250.0,0.16,0.1,-7.920930961187592
65.0,0.2,250.0,0.16,0.3,-7.604591474493635
65.0,0.2,250.0,0.16,0.5,-7.306276567645099
65.0,0.2,250.0,0.16,0.9,-6.736439673293779
65.0,0.2,250.0,0.16,1.0,-6.600027047184973
65.0,0.2,250.0,0.17,0.05,-7.900333168155823
65.0,0.2,250.0,0.17,0.1,-7.792126069379138
65.0,0.2,250.0,0.17,0.3,-7.477932840368544
65.0,0.2,250.0,0.17,0.5,-7.182396953557886
65.0,0.2,250.0,0.17,0.9,-6.6202703682807025
65.0,0.2,250.0,0.17,1.0,-6.4862378750516
65.0,0.2,250.0,0.18,0.05,-7.7719077608430185
65.0,0.2,250.0,0.18,0.1,-7.664193199127708
65.0,0.2,250.0,0.18,0.3,-7.352404825200155
65.0,0.2,250.0,0.18,0.5,-7.059941458979218
65.0,0.2,250.0,0.18,0.9,-6.50612946063233
65.0,0.2,250.0,0.18,1.0,-6.3746072840161725
65.0,0.2,250.0,0.19,0.05,-7.644408654580895
65.0,0.2,250.0,0.19,0.1,-7.537242734619999
65.0,0.2,250.0,0.19,0.3,-7.228133367054594
65.0,0.2,250.0,0.19,0.5,-6.939049209583058
65.0,0.2,250.0,0.19,0.9,-6.394140316465713
65.0,0.2,250.0,0.19,1.0,-6.265248961297978
65.0,0.2,250.0,0.2,0.05,-7.517948639387285
65.0,0.2,250.0,0.2,0.1,-7.411392195257314
65.0,0.2,250.0,0.2,0.3,-7.105250966624952
65.0,0.2,250.0,0.2,0.5,-6.819854045634515
65.0,0.2,250.0,0.2,0.9,-6.2844094322226
65.0,0.2,250.0,0.2,1.0,-6.158257092929327
65.0,0.2,250.0,0.21,0.05,-7.392651150636018
65.0,0.2,250.0,0.21,0.1,-7.286765741053363
65.0,0.2,250.0,0.21,0.3,-6.983890518422112
65.0,0.2,250.0,0.21,0.5,-6.702495546509051
65.0,0.2,250.0,0.21,0.9,-6.177033396372829
65.0,0.2,250.0,0.21,1.0,-6.0537148034567325
65.0,0.2,250.0,0.22,0.05,-7.268647381161634
65.0,0.2,250.0,0.22,0.1,-7.163493594842893
65.0,0.2,250.0,0.22,0.3,-6.864193363229888
65.0,0.2,250.0,0.22,0.5,-6.58709782245699
65.0,0.2,250.0,0.22,0.9,-6.072093004068699
65.0,0.2,250.0,0.22,1.0,-5.951694177546734
65.0,0.2,250.0,0.23,0.05,-7.1460737522606435
65.0,0.2,250.0,0.23,0.1,-7.041710922434857
65.0,0.2,250.0,0.23,0.3,-6.746286511699799
65.0,0.2,250.0,0.23,0.5,-6.4737809457573325
65.0,0.2,250.0,0.23,0.9,-5.969659393964861
65.0,0.2,250.0,0.23,1.0,-5.852261858880012
65.0,0.2,250.0,0.24,0.05,-7.025070793177003
65.0,0.2,250.0,0.24,0.1,-6.921554057570741
65.0,0.2,250.0,0.24,0.3,-6.630301861050119
65.0,0.2,250.0,0.24,0.5,-6.362655393118486
65.0,0.2,250.0,0.24,0.9,-5.869801366365877
65.0,0.2,250.0,0.24,1.0,-5.755475488429917
65.0,0.2,250.0,0.25,0.05,-6.905780506615323
65.0,0.2,250.0,0.25,0.1,-6.803158093946335
65.0,0.2,250.0,0.25,0.3,-6.516359934822113
65.0,0.2,250.0,0.25,0.5,-6.253816673921381
65.0,0.2,250.0,0.25,0.9,-5.772576104066337
65.0,0.2,250.0,0.25,1.0,-5.661406067964774
65.0,0.2,250.0,0.26,0.05,-6.788345599446817
65.0,0.2,250.0,0.26,0.1,-6.686658045333546
65.0,0.2,250.0,0.26,0.3,-6.404573226753229
65.0,0.2,250.0,0.26,0.5,-6.147349859696654
65.0,0.2,250.0,0.26,0.9,-5.678047568135526
65.0,0.2,250.0,0.26,1.0,-5.5701201949898635
65.0,0.2,250.0,0.27,0.05,-6.672906832951488
65.0,0.2,250.0,0.27,0.1,-6.5721732105064765
65.0,0.2,250.0,0.27,0.3,-6.295037442660184
65.0,0.2,250.0,0.27,0.5,-6.043326947430695
65.0,0.2,250.0,0.27,0.9,-5.586289610998129
65.0,0.2,250.0,0.27,1.0,-5.48169799489097
65.0,0.2,250.0,0.28,0.05,-6.559593164541671
65.0,0.2,250.0,0.28,0.1,-6.459825747514925
65.0,0.2,250.0,0.28,0.3,-6.187840296722691
65.0,0.2,250.0,0.28,0.5,-5.941813207088846
65.0,0.2,250.0,0.28,0.9,-5.497380358159718
65.0,0.2,250.0,0.28,1.0,-5.396229006078623
65.0,0.2,250.0,0.29,0.05,-6.448531703487825
65.0,0.2,250.0,0.29,0.1,-6.349715795318599
65.0,0.2,250.0,0.29,0.3,-6.083057284681458
65.0,0.2,250.0,0.29,0.5,-5.842872779960207
65.0,0.2,250.0,0.29,0.9,-5.411405634180513
65.0,0.2,250.0,0.29,1.0,-5.313803609572186
65.0,0.2,250.0,0.3,0.05,-6.339834888442254
65.0,0.2,250.0,0.3,0.1,-6.241939371651407
65.0,0.2,250.0,0.3,0.3,-5.980754894888713
65.0,0.2,250.0,0.3,0.5,-5.746567487743224
65.0,0.2,250.0,0.3,0.9,-5.328459690382099
65.0,0.2,250.0,0.3,1.0,-5.234516227309791
65.0,0.2,250.0,0.31,0.05,-6.233612437891426
65.0,0.2,250.0,0.31,0.1,-6.136577798942796
65.0,0.2,250.0,0.31,0.3,-5.8809949915352355
65.0,0.2,250.0,0.31,0.5,-5.652964819421516
65.0,0.2,250.0,0.31,0.9,-5.248637741204904
65.0,0.2,250.0,0.31,1.0,-5.15845033269401
65.0,0.2,250.0,0.32,0.05,-6.129959719781079
65.0,0.2,250.0,0.32,0.1,-6.033704296082283
65.0,0.2,250.0,0.32,0.3,-5.7838393779221775
65.0,0.2,250.0,0.32,0.5,-5.562141669439401
65.0,0.2,250.0,0.32,0.9,-5.172028173783133
65.0,0.2,250.0,0.32,1.0,-5.08567906070616
65.0,0.2,250.0,0.33,0.05,-6.028972921047116
65.0,0.2,250.0,0.33,0.1,-5.933387125034843
65.0,0.2,250.0,0.33,0.3,-5.689359783137102
65.0,0.2,250.0,0.33,0.5,-5.474187106523549
65.0,0.2,250.0,0.33,0.9,-5.098705727951484
65.0,0.2,250.0,0.33,1.0,-5.016251063426309
65.0,0.2,250.0,0.34,0.05,-5.930746419260222
65.0,0.2,250.0,0.34,0.1,-5.835697715695414
65.0,0.2,250.0,0.34,0.3,-5.597628552892164
65.0,0.2,250.0,0.34,0.5,-5.3891993525960356
65.0,0.2,250.0,0.34,0.9,-5.028725079242548
65.0,0.2,250.0,0.34,1.0,-4.950189104907406
65.0,0.2,250.0,0.35,0.05,-5.835415185831886
65.0,0.2,250.0,0.35,0.1,-5.740747862305536
65.0,0.2,250.0,0.35,0.3,-5.508772818188866
65.0,0.2,250.0,0.35,0.5,-5.307309913129876
65.0,0.2,250.0,0.35,0.9,-4.962139424580058
65.0,0.2,250.0,0.35,1.0,-4.887512300623966
65.0,0.2,250.0,0.36,0.05,-5.743137994103597
65.0,0.2,250.0,0.36,0.1,-5.648671468350246
65.0,0.2,250.0,0.36,0.3,-5.422933511416025
65.0,0.2,250.0,0.36,0.5,-5.228661703670666
65.0,0.2,250.0,0.36,0.9,-4.898981942885652
65.0,0.2,250.0,0.36,1.0,-4.828209211188973
65.0,0.2,250.0,0.37,0.05,-5.654024752084955
65.0,0.2,250.0,0.37,0.1,-5.559550632133441
65.0,0.2,250.0,0.37,0.3,-5.34020830919246
65.0,0.2,250.0,0.37,0.5,-5.153333889064298
65.0,0.2,250.0,0.37,0.9,-4.839204445536167
65.0,0.2,250.0,0.37,1.0,-4.772203247345381
65.0,0.2,250.0,0.38,0.05,-5.568200551473477
65.0,0.2,250.0,0.38,0.1,-5.473486264336609
65.0,0.2,250.0,0.38,0.3,-5.260689576908473
65.0,0.2,250.0,0.38,0.5,-5.081388370551409
65.0,0.2,250.0,0.38,0.9,-4.782731940631718
65.0,0.2,250.0,0.38,1.0,-4.7193874883259905
65.0,0.2,250.0,0.39,0.05,-5.4857950369483
65.0,0.2,250.0,0.39,0.1,-5.3905774218433296
65.0,0.2,250.0,0.39,0.3,-5.184463425275549
65.0,0.2,250.0,0.39,0.5,-5.012861285285954
65.0,0.2,250.0,0.39,0.9,-4.729467894014115
65.0,0.2,250.0,0.39,1.0,-4.669634935305391
65.0,0.2,250.0,0.4,0.05,-5.406945544592508
65.0,0.2,250.0,0.4,0.1,-5.310931001600904
65.0,0.2,250.0,0.4,0.3,-5.111599763055727
65.0,0.2,250.0,0.4,0.5,-4.947760208193647
65.0,0.2,250.0,0.4,0.9,-4.679282649399164
65.0,0.2,250.0,0.4,1.0,-4.622801242831269
65.0,0.2,250.0,0.41,0.05,-5.331785598256531
65.0,0.2,250.0,0.41,0.1,-5.23464591974097
65.0,0.2,250.0,0.41,0.3,-5.042145230824036
65.0,0.2,250.0,0.41,0.5,-4.8860633291981275
65.0,0.2,250.0,0.41,0.9,-4.632038725499597
65.0,0.2,250.0,0.41,1.0,-4.578733440377935
65.0,0.2,250.0,0.42,0.05,-5.260435566268256
65.0,0.2,250.0,0.42,0.1,-5.161806622219468
65.0,0.2,250.0,0.42,0.3,-4.976118166714385
65.0,0.2,250.0,0.42,0.5,-4.827709476218668
65.0,0.2,250.0,0.42,0.9,-4.5875797757864865
65.0,0.2,250.0,0.42,1.0,-4.5372681729552395
65.0,0.2,250.0,0.43,0.05,-5.1929929402259125
65.0,0.2,250.0,0.43,0.1,-5.092476855033361
65.0,0.2,250.0,0.43,0.3,-4.913501359668284
65.0,0.2,250.0,0.43,0.5,-4.7726198392751265
65.0,0.2,250.0,0.43,0.9,-4.545746792853579
65.0,0.2,250.0,0.43,1.0,-4.498239856402558
65.0,0.2,250.0,0.44,0.05,-5.129522352862328
65.0,0.2,250.0,0.44,0.1,-5.026692921409108
65.0,0.2,250.0,0.44,0.3,-4.854253690756683
65.0,0.2,250.0,0.44,0.5,-4.720679900094995
65.0,0.2,250.0,0.44,0.9,-4.5063732831021355
65.0,0.2,250.0,0.44,1.0,-4.461486589060372
65.0,0.2,275.0,0.0,0.05,-9.74647057891662
65.0,0.2,275.0,0.0,0.1,-9.63513207596255
65.0,0.2,275.0,0.0,0.3,-9.324165771703782
65.0,0.2,275.0,0.0,0.5,-9.025094719194227
65.0,0.2,275.0,0.0,0.9,-8.424454240656713
65.0,0.2,275.0,0.0,1.0,-8.27263200735071
65.0,0.2,275.0,0.01,0.05,-9.624680300543654
65.0,0.2,275.0,0.01,0.1,-9.513481679269965
65.0,0.2,275.0,0.01,0.3,-9.203489497506215
65.0,0.2,275.0,0.01,0.5,-8.906210721090583
65.0,0.2,275.0,0.01,0.9,-8.312504035718181
65.0,0.2,275.0,0.01,1.0,-8.163262678161653
65.0,0.2,275.0,0.02,0.05,-9.502965248783898
65.0,0.2,275.0,0.02,0.1,-9.391890275631027
65.0,0.2,275.0,0.02,0.3,-9.082699870492663
65.0,0.2,275.0,0.02,0.5,-8.786859592313244
65.0,0.2,275.0,0.02,0.9,-8.198707450662688
65.0,0.2,275.0,0.02,1.0,-8.05155720195392
65.0,0.2,275.0,0.03,0.05,-9.381352676542972
65.0,0.2,275.0,0.03,0.1,-9.27039061021644
65.0,0.2,275.0,0.03,0.3,-8.961900667860915
65.0,0.2,275.0,0.03,0.5,-8.667266723920614
65.0,0.2,275.0,0.03,0.9,-8.08370347882814
65.0,0.2,275.0,0.03,1.0,-7.938287474484466
65.0,0.2,275.0,0.04,0.05,-9.25986557249124
65.0,0.2,275.0,0.04,0.1,-9.149013935272425
65.0,0.2,275.0,0.04,0.3,-8.841170289559155
65.0,0.2,275.0,0.04,0.5,-8.54760168653474
65.0,0.2,275.0,0.04,0.9,-7.967985965840494
65.0,0.2,275.0,0.04,1.0,-7.824053529904454
65.0,0.2,275.0,0.05,0.05,-9.138527123529864
65.0,0.2,275.0,0.05,0.1,-9.02778836470027
65.0,0.2,275.0,0.05,0.3,-8.720577187105977
65.0,0.2,275.0,0.05,0.5,-8.428001347153007
65.0,0.2,275.0,0.05,0.9,-7.851940552871858
65.0,0.2,275.0,0.05,1.0,-7.7093311139441525
65.0,0.2,275.0,0.06,0.05,-9.017361129470606
65.0,0.2,275.0,0.06,0.1,-8.906742957660347
65.0,0.2,275.0,0.06,0.3,-8.600177501911732
65.0,0.2,275.0,0.06,0.5,-8.308574569656448
65.0,0.2,275.0,0.06,0.9,-7.7358695668591775
65.0,0.2,275.0,0.06,1.0,-7.59448630730184
65.0,0.2,275.0,0.07,0.05,-8.896394663560102
65.0,0.2,275.0,0.07,0.1,-8.78590622209776
65.0,0.2,275.0,0.07,0.3,-8.480025079473409
65.0,0.2,275.0,0.07,0.5,-8.189414677044798
65.0,0.2,275.0,0.07,0.9,-7.620011391264944
65.0,0.2,275.0,0.07,1.0,-7.479816581296526
65.0,0.2,275.0,0.08,0.05,-8.775656027432472
65.0,0.2,275.0,0.08,0.1,-8.665311069693312
65.0,0.2,275.0,0.08,0.3,-8.360172982084574
65.0,0.2,275.0,0.08,0.5,-8.070605599843061
65.0,0.2,275.0,0.08,0.9,-7.504568066305266
65.0,0.2,275.0,0.08,1.0,-7.365559006531468
65.0,0.2,275.0,0.09,0.05,-8.65517561201024
65.0,0.2,275.0,0.09,0.1,-8.544990596415161
65.0,0.2,275.0,0.09,0.3,-8.240670659245367
65.0,0.2,275.0,0.09,0.5,-7.952226856292082
65.0,0.2,275.0,0.09,0.9,-7.389709357268194
65.0,0.2,275.0,0.09,1.0,-7.251917457320163
65.0,0.2,275.0,0.1,0.05,-8.534989135282592
65.0,0.2,275.0,0.1,0.1,-8.424985445417885
65.0,0.2,275.0,0.1,0.3,-8.121572426749502
65.0,0.2,275.0,0.1,0.5,-7.8343551084539955
65.0,0.2,275.0,0.1,0.9,-7.2755848507316925
65.0,0.2,275.0,0.1,1.0,-7.139065772113561
65.0,0.2,275.0,0.11,0.05,-8.415136412728495
65.0,0.2,275.0,0.11,0.1,-8.305337776242073
65.0,0.2,275.0,0.11,0.3,-8.002937053835694
65.0,0.2,275.0,0.11,0.5,-7.717069889687463
65.0,0.2,275.0,0.11,0.9,-7.162330770306363
65.0,0.2,275.0,0.11,1.0,-7.027157765821462
65.0,0.2,275.0,0.12,0.05,-8.295662416345506
65.0,0.2,275.0,0.12,0.1,-8.186092912690661
65.0,0.2,275.0,0.12,0.3,-7.884825665732073
65.0,0.2,275.0,0.12,0.5,-7.600447413394066
65.0,0.2,275.0,0.12,0.9,-7.050074043701323
65.0,0.2,275.0,0.12,1.0,-6.91633258020267
65.0,0.2,275.0,0.13,0.05,-8.17661642133032
65.0,0.2,275.0,0.13,0.1,-8.067304071382054
65.0,0.2,275.0,0.13,0.3,-7.767301140166466
65.0,0.2,275.0,0.13,0.5,-7.48457392220395
65.0,0.2,275.0,0.13,0.9,-6.938935996095885
65.0,0.2,275.0,0.13,1.0,-6.8067195290377525
65.0,0.2,275.0,0.14,0.05,-8.058053000664732
65.0,0.2,275.0,0.14,0.1,-7.9490289540472325
65.0,0.2,275.0,0.14,0.3,-7.650436923076766
65.0,0.2,275.0,0.14,0.5,-7.369533477536986
65.0,0.2,275.0,0.14,0.9,-6.829028734385972
65.0,0.2,275.0,0.14,1.0,-6.69844048800742
65.0,0.2,275.0,0.15,0.05,-7.940031631374524
65.0,0.2,275.0,0.15,0.1,-7.831325770432921
65.0,0.2,275.0,0.15,0.3,-7.53431087074211
65.0,0.2,275.0,0.15,0.5,-7.255417583689734
65.0,0.2,275.0,0.15,0.9,-6.72046080841074
65.0,0.2,275.0,0.15,1.0,-6.59160398814665
65.0,0.2,275.0,0.16,0.05,-7.82262224134692
65.0,0.2,275.0,0.16,0.1,-7.714269457800143
65.0,0.2,275.0,0.16,0.3,-7.41899979872482
65.0,0.2,275.0,0.16,0.5,-7.142317796071593
65.0,0.2,275.0,0.16,0.9,-6.613340544585806
65.0,0.2,275.0,0.16,1.0,-6.486312390697567
65.0,0.2,275.0,0.17,0.05,-7.705891056325299
65.0,0.2,275.0,0.17,0.1,-7.597927856364727
65.0,0.2,275.0,0.17,0.3,-7.304591879610454
65.0,0.2,275.0,0.17,0.5,-7.0303288049899155
65.0,0.2,275.0,0.17,0.9,-6.50775939954946
65.0,0.2,275.0,0.17,1.0,-6.3826609573707165
65.0,0.2,275.0,0.18,0.05,-7.589919883571093
65.0,0.2,275.0,0.18,0.1,-7.482383212023851
65.0,0.2,275.0,0.18,0.3,-7.19117617914103
65.0,0.2,275.0,0.18,0.5,-6.919546688257695
65.0,0.2,275.0,0.18,0.9,-6.403812103538767
65.0,0.2,275.0,0.18,1.0,-6.280737509384828
65.0,0.2,275.0,0.19,0.05,-7.474791877093111
65.0,0.2,275.0,0.19,0.1,-7.367719903712778
65.0,0.2,275.0,0.19,0.3,-7.078844884972506
65.0,0.2,275.0,0.19,0.5,-6.810069158452739
65.0,0.2,275.0,0.19,0.9,-6.301580160806134
65.0,0.2,275.0,0.19,1.0,-6.180620601107913
65.0,0.2,275.0,0.2,0.05,-7.360596193927422
65.0,0.2,275.0,0.2,0.1,-7.25402396769835
65.0,0.2,275.0,0.2,0.3,-6.96769156033569
65.0,0.2,275.0,0.2,0.5,-6.70198576877207
65.0,0.2,275.0,0.2,0.9,-6.201142958376186
65.0,0.2,275.0,0.2,1.0,-6.082384749118273
65.0,0.2,275.0,0.21,0.05,-7.247426872553791
65.0,0.2,275.0,0.21,0.1,-7.141390025104315
65.0,0.2,275.0,0.21,0.3,-6.857810831120689
65.0,0.2,275.0,0.21,0.5,-6.595390327684365
65.0,0.2,275.0,0.21,0.9,-6.102570310171901
65.0,0.2,275.0,0.21,1.0,-5.986101527269126
65.0,0.2,275.0,0.22,0.05,-7.135380952041164
65.0,0.2,275.0,0.22,0.1,-7.029909870475564
65.0,0.2,275.0,0.22,0.3,-6.7492921899939935
65.0,0.2,275.0,0.22,0.5,-6.490368773109765
65.0,0.2,275.0,0.22,0.9,-6.005931967071381
65.0,0.2,275.0,0.22,1.0,-5.891834277756749
65.0,0.2,275.0,0.23,0.05,-7.024559000170393
65.0,0.2,275.0,0.23,0.1,-6.919680224604241
65.0,0.2,275.0,0.23,0.3,-6.642230902256023
65.0,0.2,275.0,0.23,0.5,-6.387000109034796
65.0,0.2,275.0,0.23,0.9,-5.911297039648526
65.0,0.2,275.0,0.23,1.0,-5.799661220568913
65.0,0.2,275.0,0.24,0.05,-6.915062853577296
65.0,0.2,275.0,0.24,0.1,-6.81079331957608
65.0,0.2,275.0,0.24,0.3,-6.536708873486624
65.0,0.2,275.0,0.24,0.5,-6.285357627230799
65.0,0.2,275.0,0.24,0.9,-5.8187310894149284
65.0,0.2,275.0,0.24,1.0,-5.7096581504755894
65.0,0.2,275.0,0.25,0.05,-6.8069951275234
65.0,0.2,275.0,0.25,0.1,-6.7033413900077425
65.0,0.2,275.0,0.25,0.3,-6.432807715614765
65.0,0.2,275.0,0.25,0.5,-6.185511344490985
65.0,0.2,275.0,0.25,0.9,-5.728314024181298
65.0,0.2,275.0,0.25,1.0,-5.621909302939856
65.0,0.2,275.0,0.26,0.05,-6.700455658191984
65.0,0.2,275.0,0.26,0.1,-6.597411944588799
65.0,0.2,275.0,0.26,0.3,-6.330599430488514
65.0,0.2,275.0,0.26,0.5,-6.087526051311217
65.0,0.2,275.0,0.26,0.9,-5.640130382317491
65.0,0.2,275.0,0.26,1.0,-5.53651164551954
65.0,0.2,275.0,0.27,0.05,-6.595544318259649
65.0,0.2,275.0,0.27,0.1,-6.4930906261296455
65.0,0.2,275.0,0.27,0.3,-6.230153180695046
65.0,0.2,275.0,0.27,0.5,-5.9914636997702075
65.0,0.2,275.0,0.27,0.9,-5.554274398033714
65.0,0.2,275.0,0.27,1.0,-5.453568391922657
65.0,0.2,275.0,0.28,0.05,-6.49235458282577
65.0,0.2,275.0,0.28,0.1,-6.390453611246933
65.0,0.2,275.0,0.28,0.3,-6.13153307681513
65.0,0.2,275.0,0.28,0.5,-5.897394805873433
65.0,0.2,275.0,0.28,0.9,-5.470849511784733
65.0,0.2,275.0,0.28,1.0,-5.373189657996275
65.0,0.2,275.0,0.29,0.05,-6.390982187177004
65.0,0.2,275.0,0.29,0.1,-6.289573743816144
65.0,0.2,275.0,0.29,0.3,-6.034802063189594
65.0,0.2,275.0,0.29,0.5,-5.805388542415264
65.0,0.2,275.0,0.29,0.9,-5.389966183345106
65.0,0.2,275.0,0.29,1.0,-5.29548572080156
65.0,0.2,275.0,0.3,0.05,-6.291516212458471
65.0,0.2,275.0,0.3,0.1,-6.190520418405677
65.0,0.2,275.0,0.3,0.3,-5.940024065795785
65.0,0.2,275.0,0.3,0.5,-5.715519635336399
65.0,0.2,275.0,0.3,0.9,-5.311736837045732
65.0,0.2,275.0,0.3,1.0,-5.220563693387643
65.0,0.2,275.0,0.31,0.05,-6.194046732610254
65.0,0.2,275.0,0.31,0.1,-6.093359550752754
65.0,0.2,275.0,0.31,0.3,-5.847265356883631
65.0,0.2,275.0,0.31,0.5,-5.6278855488667
65.0,0.2,275.0,0.31,0.9,-5.236271099701795
65.0,0.2,275.0,0.31,1.0,-5.148519055953426
65.0,0.2,275.0,0.32,0.05,-6.098668661550585
65.0,0.2,275.0,0.32,0.1,-5.998162484183238
65.0,0.2,275.0,0.32,0.3,-5.756609695258669
65.0,0.2,275.0,0.32,0.5,-5.542585940509002
65.0,0.2,275.0,0.32,0.9,-5.163667654300872
65.0,0.2,275.0,0.32,1.0,-5.079429038297173
65.0,0.2,275.0,0.33,0.05,-6.005480047923542
65.0,0.2,275.0,0.33,0.1,-5.904998119690306
65.0,0.2,275.0,0.33,0.3,-5.668141660000895
65.0,0.2,275.0,0.33,0.5,-5.459734359924982
65.0,0.2,275.0,0.33,0.9,-5.094009405141911
65.0,0.2,275.0,0.33,1.0,-5.013347825103422
65.0,0.2,275.0,0.34,0.05,-5.914591675055311
65.0,0.2,275.0,0.34,0.1,-5.813953868807987
65.0,0.2,275.0,0.34,0.3,-5.581962349077792
65.0,0.2,275.0,0.34,0.5,-5.379448595747331
65.0,0.2,275.0,0.34,0.9,-5.027356146127399
